"cohort","cell_type","hr","hr_lower","hr_upper","p_value","fdr","model"
"metabric","B_cells",0.930631054467729,0.872470888920645,0.992668260383058,0.0290020932349397,0.101507326322289,"unadjusted"
"metabric","CD45",0.992058455583303,0.93139065598557,1.05667796103548,0.804408165444336,0.925897787408426,"unadjusted"
"metabric","Cytotoxic_cells",0.948121118879243,0.89095670565621,1.00895324133931,0.0931451360450414,0.217338650771763,"unadjusted"
"metabric","DC",1.00560482464806,0.94514745144386,1.06992941874903,0.859762231164967,0.925897787408426,"unadjusted"
"metabric","Exhausted_CD8",0.980234986883898,0.922590001256572,1.04148172883142,0.518554067091012,0.65997790357038,"unadjusted"
"metabric","Macrophages",1.09112459710981,1.02760118371432,1.1585748491596,0.00437690341861316,0.0306383239302921,"unadjusted"
"metabric","Mast_cells",0.884601309293964,0.831091392091984,0.941556468819721,0.000117364228615402,0.00164309920061562,"unadjusted"
"metabric","Neutrophils",1.04106878174457,0.982416518426783,1.1032227044174,0.1737153919693,0.287107468739901,"unadjusted"
"metabric","Mature_NK",1.00087273494084,0.943272499624807,1.06199028588918,0.976987268143595,0.976987268143595,"unadjusted"
"metabric","NK_cells",1.051249676191,0.987917224498861,1.11864218406788,0.114907374242632,0.229814748485264,"unadjusted"
"metabric","Th1_cells",1.04220179895706,0.980468255379314,1.10782229183863,0.184569087047079,0.287107468739901,"unadjusted"
"metabric","Treg",1.07116826575016,1.00861180108523,1.13760462877357,0.0251390797942519,0.101507326322289,"unadjusted"
"metabric","CD8_T_cells",0.939209643954753,0.88290832920615,0.999101181988791,0.0467592384743458,0.130925867728168,"unadjusted"
"metabric","CD4_T_cells",1.02512913530865,0.968096227985852,1.0855219901487,0.395446291034303,0.553624807448024,"unadjusted"
"tcga","B_cells",0.74948320949468,0.622101399504023,0.902947785943398,0.00241242124804091,0.0112579658241909,"unadjusted"
"tcga","CD45",0.878123264921201,0.749541049805296,1.0287634928016,0.107634527390113,0.150688338346158,"unadjusted"
"tcga","Cytotoxic_cells",0.756201573076537,0.638862653457398,0.895091951343127,0.00116137338976884,0.0112579658241909,"unadjusted"
