"cell_type","metabric_loading","tcga_loading","abs_loading"
"Cytotoxic_cells",0.410793999466255,0.31368206448412,0.410793999466255
"Exhausted_CD8",0.387037317982284,0.317865490314783,0.387037317982284
"CD8_T_cells",0.382859326147247,0.292211298879797,0.382859326147247
"B_cells",0.340532928497451,0.278291314507065,0.340532928497451
"Mature_NK",0.333129923725325,0.292710529783367,0.333129923725325
"CD45",0.318473728791598,0.301173386612398,0.318473728791598
"DC",0.310328335551838,0.272347764776315,0.310328335551838
"Macrophages",0.27546152893953,0.256736317563446,0.27546152893953
"CD4_T_cells",0.109326755675617,0.103597346768273,0.109326755675617
"NK_cells",0.109267011100425,0.289628659813675,0.109267011100425
"Neutrophils",0.0985096010123186,0.227801228867103,0.0985096010123186
"Mast_cells",0.0240875062451246,0.0552326076589829,0.0240875062451246
"Th1_cells",0.00964023767579479,0.311292456494464,0.00964023767579479
"Treg",0.00733286072030912,0.273487995431386,0.00733286072030912
